id,classificador,score_f1,precision,train_time,test_time,transacao
34,LogisticRegression-upsampled,0.54133064516129,0.383006038704769,13.8204689025879,0.0295975208282471,22/09/2020 20:43:26
35,LogisticRegression-Parcial,0.255872291904219,0.177027453455349,3.21141362190247,0.00505709648132324,22/09/2020 20:43:26
36,LogisticRegression-Sem Tratamento,0.642857142857143,0.602870813397129,1.26871418952942,0.00398874282836914,22/09/2020 20:43:26
37,SGD Classifier-upsampled,0.514462875954869,0.602870813397129,6.98312902450562,0.0239384174346924,22/09/2020 20:43:26
38,SGD Classifier - Tratamento Parcial,0.262922353994182,0.602870813397129,3.32517433166504,0.00901222229003906,22/09/2020 20:43:26
39,SGD Classifier - Sem Tratamento,0.259690790947793,0.602870813397129,2.93438911437988,0.00797820091247559,22/09/2020 20:43:26
40,Perceptron - upsampled,0.489830036221789,0.476888020833333,2.04972052574158,0.0149292945861816,22/09/2020 20:43:26
41,Perceptron-Tratamento Parcial,0.146464646464646,0.13880706921944,0.6303391456604,0.00598859786987305,22/09/2020 20:43:26
42,Perceptron - Sem Tratamento,0.524435318275154,0.51264552388599,0.299199342727661,0.00299239158630371,22/09/2020 20:43:26
43,RidgeClassifier - upsampled,0.57134743717166,0.751166697778607,2.58109712600708,0.0169522762298584,22/09/2020 20:43:26
44,RidgeClassifier - Tratamento Parcial,0.0352011494252874,0.139204545454545,0.742733955383301,0.00496125221252441,22/09/2020 20:43:26
45,RidgeClassifier - Sem Tratamento ,0.56784434203789,0.72626064178127,0.261644601821899,0.00299286842346191,22/09/2020 20:43:26
46,KNeighborsClassifier,0.538927335640138,0.726813144079331,0.0441501140594482,14.1072270870209,22/09/2020 20:43:26
47,RidgeClassifier - Sem Tratamento ,0.56784434203789,0.72626064178127,0.258383750915527,0.00299072265625,22/09/2020 20:43:26
48,RidgeClassifier - Sem Tratamento ,0.56784434203789,0.72626064178127,0.369215726852417,0.00982546806335449,22/09/2020 20:43:26
49,RidgeClassifier - Sem Tratamento ,0.56784434203789,0.72626064178127,0.455280303955078,0.00976753234863281,22/09/2020 20:43:26
50,RidgeClassifier - Sem Tratamento ,0.56784434203789,0.72626064178127,0.380570411682129,0.0,22/09/2020 20:43:26
51,RidgeClassifier - Sem Tratamento ,0.56784434203789,0.72626064178127,0.296551465988159,0.00498723983764648,22/09/2020 20:43:26
52,KNeighborsClassifier,0.538927335640138,0.726813144079331,0.0639877319335937,17.6712689399719,22/09/2020 20:43:26
53,KNeighborsClassifier - Tratamento Parcial,0.00163934426229508,0.25,0.0169529914855957,3.08812355995178,22/09/2020 20:43:26
54,KNeighborsClassifier - Tratamento Parcial,0.433187772925764,0.704545454545455,0.00498628616333008,0.549558162689209,22/09/2020 20:43:26
55,PassiveAggressiveClassifier,0.597054886211513,0.606838618078561,1.88837599754333,0.0104701519012451,22/09/2020 20:43:26
56,VotingClassifier,0.597960279119699,0.623662602637472,2.14529776573181,0.0202925205230713,22/09/2020 20:43:26
57,PassiveAggressiveClassifier,0.0446793177996637,0.0537261698440208,0.701109170913696,0.014554500579834,22/09/2020 20:43:26
58,PassiveAggressiveClassifier,0.593751881057003,0.625570776255708,2.36547064781189,0.00993037223815918,22/09/2020 20:43:26
59,PassiveAggressiveClassifier - - Tratamento Parcial,0.0410795318844041,0.049002849002849,0.705953359603882,0.0,22/09/2020 20:43:26
60,VotingClassifier,0.596201386795297,0.629327902240326,2.11481404304504,0.0201759338378906,22/09/2020 20:43:26
61,VotingClassifier,0.594131143581693,0.628111834546151,1.82173776626587,0.0206432342529297,22/09/2020 20:43:26
62,VotingClassifier - tratamento parcial,0.0468372766779334,0.0567251461988304,0.431379795074463,0.00853157043457031,22/09/2020 20:43:26
63,VotingClassifier - sem tratamento,0.563965170797053,0.601428571428571,0.179552316665649,0.00448322296142578,22/09/2020 20:43:26
64,ExtraTreesClassifier - upsampled,0.599815765232267,0.70459112691297,201.519667625427,0.243650674819946,22/09/2020 20:43:26
65,ExtraTreesClassifier - tratamento parcial,0.0120156203063983,0.0222965440356745,65.7343780994415,0.0708215236663818,22/09/2020 20:43:26
66,ExtraTreesClassifier - sem tratamento,0.41011578305911,0.745293466223699,1.67349696159363,0.0302820205688477,22/09/2020 20:43:26
67,AdaBoostClassifier - upsampled,0.480884109916368,0.690542569161484,170.11806678772,4.71730375289917,22/09/2020 20:43:26
68,AdaBoostClassifier - tratamento parcial,0.102661596958175,0.223756906077348,77.2693490982056,1.87004208564758,22/09/2020 20:43:26
69,LogisticRegression-upsampled,0.54133064516129,0.383006038704769,10.5040168762207,0.0229430198669434,23/09/2020 18:27:57
70,LogisticRegression-Parcial,0.255872291904219,0.177027453455349,2.85732555389404,0.00897455215454102,23/09/2020 18:27:57
71,LogisticRegression-Sem Tratamento,0.642857142857143,0.602870813397129,1.02426099777222,0.00299263000488281,23/09/2020 18:27:57
72,SGD Classifier-upsampled,0.513168803010012,0.602870813397129,5.87818312644958,0.0169568061828613,23/09/2020 18:27:57
73,SGD Classifier - Tratamento Parcial,0.263063867798124,0.602870813397129,2.38864827156067,0.00597500801086426,23/09/2020 18:27:57
74,SGD Classifier - Sem Tratamento,0.259757738896366,0.602870813397129,2.47238564491272,0.00598406791687012,23/09/2020 18:27:57
75,Perceptron - upsampled,0.489830036221789,0.476888020833333,2.20912671089172,0.0139260292053223,23/09/2020 18:27:57
76,Perceptron-Tratamento Parcial,0.146464646464646,0.13880706921944,0.736077547073364,0.00493907928466797,23/09/2020 18:27:57
77,Perceptron - Sem Tratamento,0.524435318275154,0.51264552388599,0.33613133430481,0.00398826599121094,23/09/2020 18:27:57
78,RidgeClassifier - upsampled,0.57134743717166,0.751166697778607,3.05885291099548,0.020951509475708,23/09/2020 18:27:57
79,RidgeClassifier - Tratamento Parcial,0.0352011494252874,0.139204545454545,0.904537200927734,0.00997400283813477,23/09/2020 18:27:57
80,RidgeClassifier - Sem Tratamento ,0.56784434203789,0.72626064178127,0.320100784301758,0.00398635864257812,23/09/2020 18:27:57
81,KNeighborsClassifier,0.538927335640138,0.726813144079331,0.0399017333984375,15.0859389305115,23/09/2020 18:27:57
82,KNeighborsClassifier - Tratamento Parcial,0.00163934426229508,0.25,0.0139691829681396,2.25897169113159,23/09/2020 18:27:57
83,KNeighborsClassifier - Tratamento Parcial,0.433187772925764,0.704545454545455,0.010969877243042,0.724090576171875,23/09/2020 18:27:57
84,PassiveAggressiveClassifier - upsampled,0.59143827310211,0.628236506505217,1.60171723365784,0.0139634609222412,23/09/2020 18:27:57
85,PassiveAggressiveClassifier - - Tratamento Parcial,0.0465807730426165,0.0586034912718204,0.712097883224487,0.00598239898681641,23/09/2020 18:27:57
86,VotingClassifier - upsampled,0.595013517572845,0.625568468923699,1.7164134979248,0.0139672756195068,23/09/2020 18:27:57
87,VotingClassifier - tratamento parcial,0.0496647628507574,0.0626959247648903,0.50269627571106,0.00494527816772461,23/09/2020 18:27:57
88,VotingClassifier - sem tratamento,0.568680089485459,0.607843137254902,0.175572395324707,0.00394821166992187,23/09/2020 18:27:57
89,ExtraTreesClassifier - upsampled,0.6,0.704682429299954,229.675311326981,0.306514501571655,23/09/2020 18:27:57
90,ExtraTreesClassifier - tratamento parcial,0.0108173076923077,0.0200892857142857,78.1492314338684,0.0768084526062012,23/09/2020 18:27:57
91,ExtraTreesClassifier - sem tratamento,0.387431360585723,0.706340378197998,1.81514811515808,0.033907413482666,23/09/2020 18:27:57
92,AdaBoostClassifier - upsampled,0.480884109916368,0.690542569161484,198.378576517105,5.36165976524353,23/09/2020 18:27:57
93,AdaBoostClassifier - tratamento parcial,0.102629078238834,0.223448275862069,87.6696221828461,1.81614518165588,23/09/2020 18:27:57
94,AdaBoostClassifier - sem tratamento,0.52819414703783,0.608552631578947,26.8676204681396,1.06143975257874,23/09/2020 18:27:57
95,GradientBoostingClassifier - upsampled,0.34677565849228,0.83691363437089,254.172522306442,0.203158617019653,23/09/2020 18:27:57
96,GradientBoostingClassifier - Tratamento Parcial,0.0148989003192622,0.0542635658914729,206.497868061066,0.0900359153747559,23/09/2020 18:27:57
97,GradientBoostingClassifier  - sem tratamento,0.476349471341124,0.704526748971193,63.9929382801056,0.0119686126708984,23/09/2020 18:27:57
98,RandomForestClassifier - upsampled,0.606780310285386,0.685318719353908,902.787387371063,1.12196087837219,23/09/2020 18:27:57
99,RandomForestClassifier - Tratamento Parcial,0.00854214123006834,0.0138888888888889,210.847387313843,0.328096389770508,23/09/2020 18:27:57
100,RandomForestClassifier- Sem Tratamento,0.421210305572199,0.733055265901981,6.18855619430542,0.142388820648193,23/09/2020 18:27:57
101,LogisticRegression-upsampled,0.54133064516129,0.383006038704769,11.7693598270416,0.0201737880706787,24/09/2020 22:24:57
102,LogisticRegression-Parcial,0.255872291904219,0.177027453455349,2.96964073181152,0.00897383689880371,24/09/2020 22:24:57
103,LogisticRegression-Sem Tratamento,0.642857142857143,0.602870813397129,1.17607617378235,0.0100102424621582,24/09/2020 22:24:57
104,SGD Classifier-upsampled,0.514094173982442,0.602870813397129,5.86285305023193,0.0235085487365723,24/09/2020 22:24:57
105,SGD Classifier - Tratamento Parcial,0.263428827215757,0.602870813397129,2.91301965713501,0.0098416805267334,24/09/2020 22:24:57
106,SGD Classifier - Sem Tratamento,0.263923059718184,0.602870813397129,2.483553647995,0.0,24/09/2020 22:24:57
107,Perceptron - upsampled,0.489830036221789,0.476888020833333,1.9555823802948,0.0156524181365967,24/09/2020 22:24:57
108,Perceptron-Tratamento Parcial,0.146464646464646,0.13880706921944,0.642322540283203,0.0156214237213135,24/09/2020 22:24:57
109,Perceptron - Sem Tratamento,0.524435318275154,0.51264552388599,0.309175491333008,0.00398778915405273,24/09/2020 22:24:57
110,RidgeClassifier - upsampled,0.57134743717166,0.751166697778607,2.83527708053589,0.0139625072479248,24/09/2020 22:24:57
111,RidgeClassifier - Tratamento Parcial,0.0352011494252874,0.139204545454545,0.806689023971558,0.0,24/09/2020 22:24:57
112,RidgeClassifier - Sem Tratamento ,0.56784434203789,0.72626064178127,0.309051990509033,0.00398826599121094,24/09/2020 22:24:57
113,KNeighborsClassifier,0.538927335640138,0.726813144079331,0.0498995780944824,14.3262422084808,24/09/2020 22:24:57
114,KNeighborsClassifier - Tratamento Parcial,0.00163934426229508,0.25,0.0139999389648438,2.28389239311218,24/09/2020 22:24:57
115,KNeighborsClassifier - Tratamento Parcial,0.433187772925764,0.704545454545455,0.00802350044250488,0.6735520362854,24/09/2020 22:24:57
116,PassiveAggressiveClassifier - upsampled,0.595506294801518,0.62792174796748,1.97904515266418,0.0156614780426025,24/09/2020 22:24:57
117,PassiveAggressiveClassifier - - Tratamento Parcial,0.0400811770674784,0.052317880794702,0.655718326568604,0.0,24/09/2020 22:24:57
118,VotingClassifier - upsampled,0.595687984496124,0.631890016703071,1.87579011917114,0.0155861377716064,24/09/2020 22:24:57
119,VotingClassifier - tratamento parcial,0.0455840455840456,0.0539325842696629,0.487713813781738,0.0199065208435059,24/09/2020 22:24:57
120,VotingClassifier - sem tratamento,0.564102564102564,0.600664767331434,0.17852258682251,0.0029909610748291,24/09/2020 22:24:57
121,ExtraTreesClassifier - upsampled,0.599894709133983,0.704809030462347,216.588883399963,0.304437398910522,24/09/2020 22:24:57
122,ExtraTreesClassifier - tratamento parcial,0.0144014401440144,0.0266370699223085,74.4269511699677,0.0689244270324707,24/09/2020 22:24:57
123,ExtraTreesClassifier - sem tratamento,0.405208964264082,0.724810400866739,1.91774797439575,0.0377528667449951,24/09/2020 22:24:57
124,AdaBoostClassifier - upsampled,0.480884109916368,0.690542569161484,194.223568916321,6.33494567871094,24/09/2020 22:24:57
125,AdaBoostClassifier - tratamento parcial,0.102661596958175,0.223756906077348,94.5863208770752,1.83891463279724,24/09/2020 22:24:57
126,AdaBoostClassifier - sem tratamento,0.528068506184586,0.608219178082192,32.1474709510803,0.96765923500061,24/09/2020 22:24:57
127,GradientBoostingClassifier - upsampled,0.344865258557902,0.839911308203991,207.12558555603,0.158082962036133,24/09/2020 22:24:57
128,GradientBoostingClassifier - Tratamento Parcial,0.0135231316725979,0.0502645502645503,183.457718133926,0.0534119606018066,24/09/2020 22:24:57
129,GradientBoostingClassifier  - sem tratamento,0.478732276897414,0.706896551724138,58.9076352119446,0.0345625877380371,24/09/2020 22:24:57
130,LogisticRegression-upsampled,0.538704900376952,0.381403993709193,6.71123886108398,0.0,24/09/2020 22:51:58
131,LogisticRegression-Parcial,0.211574507966261,0.147935779816514,2.34828567504883,0.0119669437408447,24/09/2020 22:51:58
132,LogisticRegression-Sem Tratamento,0.572781065088757,0.539576365663322,1.043790102005,0.00398945808410645,24/09/2020 22:51:58
133,SGD Classifier-upsampled,0.509981215575154,0.539576365663322,5.06825757026672,0.0199642181396484,24/09/2020 22:51:58
134,SGD Classifier - Tratamento Parcial,0.21651502936773,0.539576365663322,2.38654017448425,0.0,24/09/2020 22:51:58
135,SGD Classifier - Sem Tratamento,0.216611447503713,0.539576365663322,2.33724141120911,0.00909662246704102,24/09/2020 22:51:58
136,Perceptron - upsampled,0.479572095140549,0.476427360090447,2.03038573265076,0.0179533958435059,24/09/2020 22:51:58
137,Perceptron-Tratamento Parcial,0.111914893617021,0.115961199294533,0.734402418136597,0.0,24/09/2020 22:51:58
138,Perceptron - Sem Tratamento,0.47643362136685,0.447106524143015,0.382868766784668,0.00299167633056641,24/09/2020 22:51:58
139,RidgeClassifier - upsampled,0.559370942143991,0.755308786284824,3.01503419876099,0.01694655418396,24/09/2020 22:51:58
140,RidgeClassifier - Tratamento Parcial,0.0185185185185185,0.0932835820895522,1.11636209487915,0.0050046443939209,24/09/2020 22:51:58
141,RidgeClassifier - Sem Tratamento ,0.475013433637829,0.658227848101266,0.313196182250977,0.00598692893981934,24/09/2020 22:51:58
142,KNeighborsClassifier,0.490172543135784,0.710063029776136,0.0538599491119385,14.2661924362183,24/09/2020 22:51:58
143,KNeighborsClassifier - Tratamento Parcial,0.0,0.0,0.0129647254943848,2.43703770637512,24/09/2020 22:51:58
144,KNeighborsClassifier - Tratamento Parcial,0.141452344931921,0.705660377358491,0.00495624542236328,0.637294769287109,24/09/2020 22:51:58
145,PassiveAggressiveClassifier - upsampled,0.586871165644172,0.631752740721173,1.71233534812927,0.0209474563598633,24/09/2020 22:51:58
146,PassiveAggressiveClassifier - - Tratamento Parcial,0.0306301782575948,0.0393294648613798,0.555064678192139,0.00701522827148437,24/09/2020 22:51:58
147,VotingClassifier - upsampled,0.59686505020818,0.64106273839274,1.75891447067261,0.0148804187774658,24/09/2020 22:51:58
148,VotingClassifier - tratamento parcial,0.0320121951219512,0.0418882978723404,0.643754482269287,0.00601315498352051,24/09/2020 22:51:58
149,VotingClassifier - sem tratamento,0.485436893203884,0.524390243902439,0.186503410339355,0.00398874282836914,24/09/2020 22:51:58
150,ExtraTreesClassifier - upsampled,0.599907888676887,0.704636785162287,191.907709360123,0.280157089233398,24/09/2020 22:51:58
151,ExtraTreesClassifier - tratamento parcial,0.00961249624511865,0.0178372352285396,70.4710466861725,0.08078932762146,24/09/2020 22:51:58
152,ExtraTreesClassifier - sem tratamento,0.362037598544572,0.64961915125136,2.27335929870605,0.0379295349121094,24/09/2020 22:51:58
153,AdaBoostClassifier - upsampled,0.444043887147336,0.702803274621682,138.181389808655,4.3379077911377,24/09/2020 22:51:58
154,AdaBoostClassifier - tratamento parcial,0.0597844977407021,0.193258426966292,75.1628572940826,1.65911030769348,24/09/2020 22:51:58
155,AdaBoostClassifier - sem tratamento,0.451517394522576,0.546594982078853,23.1246621608734,0.774924993515015,24/09/2020 22:51:58
156,GradientBoostingClassifier - upsampled,0.29448203564281,0.875850340136054,164.034638166428,0.100322246551514,24/09/2020 22:51:58
157,GradientBoostingClassifier - Tratamento Parcial,0.00592373195112921,0.0297397769516729,138.311467647552,0.0558505058288574,24/09/2020 22:51:58
158,GradientBoostingClassifier  - sem tratamento,0.378183997602637,0.65866388308977,37.9700944423676,0.0156564712524414,24/09/2020 22:51:58
159,RandomForestClassifier - upsampled,0.604371724402403,0.683533323695244,715.212383031845,1.46482014656067,24/09/2020 22:51:58
160,RandomForestClassifier - Tratamento Parcial,0.00402414486921529,0.00668576886341929,197.417099237442,0.364084005355835,24/09/2020 22:51:58
161,RandomForestClassifier- Sem Tratamento,0.350822725861534,0.671021377672209,7.91702485084534,0.221407651901245,24/09/2020 22:51:58
162,LogisticRegression-upsampled,0.538704900376952,0.381403993709193,8.28881335258484,0.0179522037506104,25/09/2020 00:34:43
163,LogisticRegression-Parcial,0.211574507966261,0.147935779816514,2.05264449119568,0.00598311424255371,25/09/2020 00:34:43
164,LogisticRegression-Sem Tratamento,0.572781065088757,0.539576365663322,0.907604455947876,0.00398945808410645,25/09/2020 00:34:43
165,SGD Classifier-upsampled,0.508782517549154,0.539576365663322,3.93244028091431,0.0139951705932617,25/09/2020 00:34:43
